,spearman,spearman*,spearmanCust,spearmanCust*,spearmanBisc,spearmanBisc*
Oil_retention,-0.1,–0.1,-0.39,–0.39**,0.1,0.1
Water_retention,0.17,0.17,0.14,0.14,0.47,0.47**
Bulk_density,0.09,0.09,0.39,0.39**,-0.12,–0.12
Tapped_density,0.13,0.13,0.19,0.19,0.13,0.13
Curcumin_binding_capacity,-0.12,–0.12,-0.19,–0.19,-0.37,–0.37
Particle_size,-0.08,–0.08,0.14,0.14,-0.31,–0.31*
Specific_surface_area,0.16,0.16,0.22,0.22,0.28,0.28*
Biscuit_hardness,-0.17,–0.17,-0.48,–0.48**,-0.17,–0.17
Custard_viscosity,0.18,0.18,0.05,0.05,0.53,0.53**
Custard_firmness,0.16,0.16,0.06,0.06,0.51,0.51**
Custard_stickiness,-0.17,–0.17,-0.07,–0.07,-0.53,–0.53**
Cellulose,0.1,0.1,-0.41,–0.41**,0.15,0.15
Hemicellulose,0.3,0.3**,0.12,0.12,0.66,0.66**
Dextrine,-0.69,–0.69**,0.36,0.36**,-0.13,–0.13
Pectin,0.22,0.22,0.1,0.1,0.45,0.45**
Lignin,0.22,0.22,0.1,0.1,0.45,0.45**
Fructans,0.03,0.03,0.06,0.06,-0.17,–0.17
Insoluble_fibre,0.1,0.1,-0.31,–0.31,0.11,0.11
Soluble_fibre,-0.08,–0.08,0.36,0.36**,0.09,0.09
Protein,0.87,0.87**,0.28,0.28*,0.65,0.65**
Carbs,0.88,0.88**,0.41,0.41**,0.57,0.57**
Fat,0.81,0.81**,0.02,0.02,0.43,0.43**
Water,-0.64,–0.64**,0.19,0.19,0.64,0.64**
Ash,0.72,0.72**,0.11,0.11,0.64,0.64**
MacronutrientContent,0.87,0.87**,0.41,0.41**,0.56,0.56**
