index,Supplement,Oil_retention,Water_retention,Bulk_density,Tapped_density,L,a,b,C,h,Curcumin_binding_capacity,Particle_size,Specific_surface_area,Biscuit_hardness,Custard_viscosity,Custard_firmness,Custard_stickiness,Cellulose,Hemicellulose,Dextrine,Pectin,Lignin,Fructans,Insoluble_fibre,Soluble_fibre,Protein,Carbs,Fat,Water,Ash,type,bioaccessibility
0,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,49.80516688
1,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,47.75279722
2,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,45.44015576
3,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,50.73994685
4,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,45.7586869
5,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,45.65418558
6,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,50.99155472
7,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,45.03966161
8,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0.000849057,0,0,0,0,0.050943396,0.000849057,0.050943396,0.067584906,0.518867925,0.093509434,0.279358491,0.006037736,1,52.94222579
9,Microcrystalline cellulose,3,2.2264,0.368313333,0.465116279,67.70666667,16.75333333,25.30666667,30.35333333,56.49333333,260,91.461,0.1435,2362,13659,165.6666667,-90,0.05745283,0,0,0,0,0,0.05745283,0,0.067584906,0.481132075,0.093509434,0.268037736,0.005283019,1,42.40245669
10,Microcrystalline cellulose,3,2.2264,0.368313333,0.465116279,67.70666667,16.75333333,25.30666667,30.35333333,56.49333333,260,91.461,0.1435,2362,13659,165.6666667,-90,0.05745283,0,0,0,0,0,0.05745283,0,0.067584906,0.481132075,0.093509434,0.268037736,0.005283019,1,44.0676544
